oglasio, broj soba, stambena povrsina, cijena, podrucje, lokacija, deatlji, url
Draško  , 1 sobe,  44 m2, €299, Kvart-Delta,, Izdajem stan na prvom spratu Čelebić zgrade u City kvartu, sa velikom terasom, bez posrednika. Kirija se plaća mjesečno unaprijed. Depozit obavezan. Slobodan od 01.06.2020. , https://www.realitica.com/hr/listing/2285361
Fresh 19.  , Fresh 19.  iznajmljuje stan na duži period, Fresh 19.  iznajmljuje stan na duži period48 m2, €350, Crna, Jednosoban namješten stan, površine 48m2, 4.sprat, tološki apartmani, klimatizovan (multi split sistem), izdavanje. , https://www.realitica.com/hr/listing/2245265
Fresh 19  , Fresh 19  iznajmljuje stan na duži period, Fresh 19  iznajmljuje stan na duži period43 m2, €350, Podgorica,, Jednosoban namješten stan, površine 43m2, 1. sprat, tološki apartmani, multi split sistem, pripadajuće garažno mjesto, izdavanje.  , https://www.realitica.com/hr/listing/2120887
Fresh 19  , Fresh 19  iznajmljuje stan na duži period, Fresh 19  iznajmljuje stan na duži period50 m2, €400, Podgorica,, Jednosoban namješten stan, 50m2, Preko Morače, 3. sprat, klimatizovan (2 klime), odvojena kuhinja. , https://www.realitica.com/hr/listing/2248508
Fresh 19  , Fresh 19  iznajmljuje stan na duži period, Fresh 19  iznajmljuje stan na duži period63 m2, €430, Podgorica,, Dvosoban namješten stan, površine 63m2, 4. sprat, nov, neuseljavan, Nova Dalmatinska, izdavanje.Multi split sistem, kupatilo + toalet, privatno parking mjesto. , https://www.realitica.com/hr/listing/2214783
Fresh 19.  , Fresh 19.  iznajmljuje stan na duži period, Fresh 19.  iznajmljuje stan na duži period58 m2, €600, Crna, Jednosoban namješten lux stan, Zetagradnja – Centar, površine 58m2, 2. sprat, multi split sistem, garažno mjesto, izdavanje.  , https://www.realitica.com/hr/listing/2003197
Fresh 19.  , Fresh 19.  iznajmljuje stan na duži period, Fresh 19.  iznajmljuje stan na duži period60 m2, €400, Podgorica,, Jednosoban namješten stan, površine 60m2, renoviran, 2. sprat (ima lift), klimatizovan (2 klime), Preko Morače, izdavanje.  , https://www.realitica.com/hr/listing/2128230
Fresh 19  , Fresh 19  iznajmljuje stan na duži period, Fresh 19  iznajmljuje stan na duži period57 m2, €350, Podgorica,, Dvosoban namješten stan, površine 57m2, 3. sprat,Benetonka, 2 klime + radijatori, izdavanje. , https://www.realitica.com/hr/listing/2202877
Fresh 19.  , Fresh 19.  iznajmljuje stan na duži period, Fresh 19.  iznajmljuje stan na duži period91 m2, €700, Podgorica,, Dvosoban namješten stan, površine 91m2, Gorica C, izdavanje, visoko prizemlje, luksuzno i jedinstveno opremljen, kupatilo + wc, klimatizovan (multi split sistem), dvije terase od k... , https://www.realitica.com/hr/listing/2085711
Fresh 19.  , Fresh 19.  iznajmljuje stan na duži period, Fresh 19.  iznajmljuje stan na duži period43 m2, €280, Podgorica,, Jednosoban namješten stan, površine 43m2, 2. sprat, Stari Aerodrom, klimatizovan, zastakljena terasa, uveden internet, izdavanje. , https://www.realitica.com/hr/listing/2266231
Nekretnine-Podgorica  , 1 sobe,  50 m2, €590, Podgorica,, Izdaje je nov neuseljavan stan na najljepsoj lokaciji u Podgorici na obali rijeke Morače u Momišićima u luksuznoj zgradi Vezir. Zgrada je na par koraka od centra grada. Sastoji se ... , https://www.realitica.com/hr/listing/2259735
Nekretnine-Podgorica  , 1 sobe,  50 m2, €570, Podgorica,, Stan se nalazi na najljepsoj lokaciji u Momisicima u jednoj od najmodernijih zgrada u Podgorici na obali Morace. U samom okruženju se nalaze cafe barovi, restorani, pizzerije, mark... , https://www.realitica.com/hr/listing/2294443
Nekretnine-Podgorica  , Nekretnine-Podgorica  iznajmljuje stan na duži period, Nekretnine-Podgorica  iznajmljuje stan na duži period35 m2, €260, Crna, Izdaje se apartman Preko Morace koji je na par koraka od centra grada. Nalazi se na obali rijeke Morace u luksuznoj zgradi Carina na 1 spratu od ukupno 6. U samom okruzenju se nala... , https://www.realitica.com/hr/listing/2187112
Nekretnine-Podgorica  , 1 sobe,  €250 Zagorič, Podgorica, Crna Gora  Izdaje se jednosoban stan u Zagoric sa ukljucenim racunima za struju, vodu i smecarinu. Izdaje se kratkorocno ili dugorocno. Stan je komforan povrsine 45m2, €250, Gora, Izdaje se jednosoban stan u Zagoric sa ukljucenim racunima za struju, vodu i smecarinu. Izdaje se kratkorocno ili dugorocno. Stan je komforan povrsine 45m2 i nalazi se u stambenoj ... , https://www.realitica.com/hr/listing/2300587
